Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str,productions
6.0,2,2,24,1.20613694190979,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,25,1.270533800125122,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,26,1.320263385772705,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,27,1.3673202991485596,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,28,1.4077610969543457,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,29,1.4486887454986572,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,30,1.493497371673584,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,31,1.5547587871551514,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,32,1.5939345359802246,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,33,1.6457924842834473,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
6.0,2,2,34,1.680649757385254,7,"ActionBlock(actions=[Move(), Move(), Left(), Move(), Move(), Right(), Move(), Left(), Right(), Left(), Left(), Left(), Move(), Right(), IfFood(yes_food=Left(), no_food=Right()), Move(), Right(), Move(), Left(), Right(), Move()])","{<class 'examples.santafe.ActionBlock'>: 1, <class 'examples.santafe.Right'>: 0, <class 'examples.santafe.Action'>: 0, <class 'examples.santafe.Move'>: 0, <class 'examples.santafe.ActionMain'>: 1, <class 'examples.santafe.IfFood'>: 0, <class 'examples.santafe.Left'>: 0}"
